API ID,1 DEPTH,2 DEPTH,3 DEPTH,API 명칭,설명,Method,URL,Actor,요청 필드,응답 필드,구현 상태,담당자
HR-001,HR,Dashboard,KPI,KPI 요약 조회,전사 평균점수·직원수·평가율·미평가 수·티어 분포 조회,GET,/api/v1/hr/kpi/summary,HRM,"year, quarter","avgScore, totalEmployees, evaluationRate, unevaluatedCount, sTierCount, aTierCount, bTierCount, cTierCount",완료,D
HR-002,HR,Dashboard,KPI,KPI 상세 조회,사원별 정성 점수·등급·평가상태 목록 조회,GET,/api/v1/hr/kpi/details,HRM,"year, quarter, page, size","employeeId, employeeName, employeeTier, qualitativeScore, grade, evalStatus",완료,D
HR-003,HR,Dashboard,KPI,KPI 추이 조회,연도별 분기 평균점수·티어 분포 추이 조회,GET,/api/v1/hr/kpi/trends,HRM,year,"year, quarter, avgScore, sTierCount, aTierCount, bTierCount, cTierCount",완료,D
HR-004,HR,Dashboard,KPI,KPI 전체 보고서 다운로드,KPI 전체 보고서 파일 다운로드 (분기 지정),GET,/api/v1/hr/kpi/report/download,HRM,"year, quarter",파일 바이너리 데이터 (File),완료,D
HR-005,HR,Dashboard,TL Dashboard,팀 지표 조회,팀 평균점수·평가율·완료건·티어 분포 조회 (같은 부서 WORKER level 1 기준),GET,/api/v1/hr/team-leader/dashboard,TL,,"teamAvgScore, evaluationRate, completedCount, sTierCount, aTierCount, bTierCount, cTierCount",완료,D
HR-006,HR,Dashboard,TL Dashboard,팀원 지표 조회,팀원별 정성점수·등급·평가상태 조회,GET,/api/v1/hr/team-leader/dashboard/members,TL,"page, size","employeeId, employeeName, employeeCode, tier, qualitativeScore, grade, evalStatus",완료,D
HR-007,HR,Dashboard,DL Dashboard,부서 지표 조회,부서 평균점수·평가율·미평가 수·티어 분포 조회 (같은 부서 WORKER level 2 기준),GET,/api/v1/hr/department-leader/dashboard,DL,,"deptAvgScore, evaluationRate, unevaluatedCount, sTierCount, aTierCount, bTierCount, cTierCount",완료,D
HR-008,HR,Dashboard,DL Dashboard,팀별 상태 조회,부서 내 TL 기준 팀별 인원·평균점수·평가상태 조회,GET,/api/v1/hr/department-leader/dashboard/teams,DL,,"tlId, tlName, memberCount, teamAvgScore, evaluationStatus (평가완료/심사중)",완료,D
HR-009,HR,Dashboard,DL Members,팀원 역량/성과 목록 조회,부서 내 팀원 정성점수·등급·평가상태 목록 조회,GET,/api/v1/hr/department-leader/members,DL,"page, size","employeeId, employeeName, employeeTier, qualitativeScore, grade, evalStatus",완료,D
HR-010,HR,Dashboard,TL KPI,팀원 정량 점수 산출 내역 조회,팀원별 정량 점수 산출 내역 조회 (설비별 점수 AVG 집계),GET,/api/v1/hr/team-leader/kpi,TL,"year, quarter","팀원 정량 평가 목록 (employeeId, employeeName, uphScore, yieldScore, leadTimeScore, sQuant, tScore, status)",완료,D
HR-011,HR,Dashboard,TL KPI,특정 팀원 정량 점수 산출 상세 조회,특정 팀원 정량 점수 산출 상세 (설비별 행 반환),GET,/api/v1/hr/team-leader/kpi/{employeeId},TL,"employeeId(Path), year, quarter","설비별 정량 점수 목록 (employeeId, employeeName, year, quarter, equipmentId, uphScore, yieldScore, leadTimeScore, actualError, sQuant, tScore, status)",완료,D
HR-012,HR,Notice,Notice,공지 목록 조회,"공지 목록 조회. HRM은 status 파라미터로 전체/게시중/예약/임시 조회 가능. Worker·TL·DL은 POSTING(게시중) 상태만 조회 가능 (백엔드 강제 적용)",GET,/api/v1/hr/notices,"HRM, TL, DL, Worker","page, size, keyword, isImportant, status(HRM만 유효)","공지 목록 (noticeId, noticeTitle, noticeStatus, isImportant, noticeViews, createdAt 등)",완료,D
HR-013,HR,Notice,Notice,공지 상세 조회,"공지 상세 조회. POSTING(게시중) 상태인 공지에 한해 조회수(noticeViews) 1 증가. 임시저장·예약 상태는 조회수 증가 없음",GET,/api/v1/hr/notices/{noticeId},"HRM, TL, DL, Worker",noticeId(Path),"공지 상세 정보 (noticeId, noticeTitle, noticeContent, noticeStatus, isImportant, noticeViews, createdAt 등)",완료,D
